"term","coefficient","odds_ratio","direction"
"hyperfocus",-19.6523896789805,2.91793495227608e-09,"More associated with ADHD comparison posts"
"concerta",-17.3303604969552,2.97522672743777e-08,"More associated with ADHD comparison posts"
"strattera",-15.9974357317646,1.12824115395529e-07,"More associated with ADHD comparison posts"
"vyvans",-5.08422384381775,0.00619369249791452,"More associated with ADHD comparison posts"
"execut",-3.32359972467126,0.0360229254673555,"More associated with ADHD comparison posts"
"ritalin",-3.07169370397471,0.0463425977079962,"More associated with ADHD comparison posts"
"adderal",-2.96950736209621,0.051328590513655,"More associated with ADHD comparison posts"
"inattent",-2.87189293475002,0.0565917007292221,"More associated with ADHD comparison posts"
"hyper",-2.55496242159957,0.0776951516719658,"More associated with ADHD comparison posts"
"undiagnos",-2.51256367069732,0.0810601610732422,"More associated with ADHD comparison posts"
"stimul",-2.32945233624857,0.0973490470372743,"More associated with ADHD comparison posts"
"hyperact",-2.13487053570286,0.118259899820411,"More associated with ADHD comparison posts"
"impuls",-1.89807131542753,0.149857368274469,"More associated with ADHD comparison posts"
"tldr",-1.74260094688813,0.175064474553971,"More associated with ADHD comparison posts"
"rate",-1.60144101980213,0.201605790636492,"More associated with ADHD comparison posts"
"assess",-1.56548632534827,0.208986353094397,"More associated with ADHD comparison posts"
"understood",-1.54134898657761,0.214092099172566,"More associated with ADHD comparison posts"
"evalu",-1.51225949377506,0.220411396722048,"More associated with ADHD comparison posts"
"diagnos",-1.38934135317282,0.249239411329038,"More associated with ADHD comparison posts"
"sensit",-1.38498880214083,0.250326602898048,"More associated with ADHD comparison posts"
