"term","coefficient","odds_ratio","direction"
"suicid",2.70046208557596,14.8866090231049,"More associated with Depression-related posts"
"depress",1.58151614322724,4.86232220245016,"More associated with Depression-related posts"
"hospit",1.50211236660582,4.49116604656804,"More associated with Depression-related posts"
"antidepress",1.34524908626871,3.83914269924202,"More associated with Depression-related posts"
"kill",1.30565932150813,3.69012126814415,"More associated with Depression-related posts"
"dark",1.29740810153254,3.65979853762141,"More associated with Depression-related posts"
"episod",1.08689821278498,2.96506280035919,"More associated with Depression-related posts"
"numb",1.02146802990862,2.77726888655546,"More associated with Depression-related posts"
"dead",0.97660884603106,2.65543596378991,"More associated with Depression-related posts"
"die",0.937381448037345,2.55328674296495,"More associated with Depression-related posts"
"weak",0.931940382408515,2.53943186904772,"More associated with Depression-related posts"
"disappear",0.915816659349743,2.49881509957553,"More associated with Depression-related posts"
"worthless",0.896527981932936,2.45107813272077,"More associated with Depression-related posts"
"smile",0.864531821008355,2.37389441827267,"More associated with Depression-related posts"
"selfish",0.837001173844496,2.30943099999758,"More associated with Depression-related posts"
"joy",0.797528150637294,2.2200465200393,"More associated with Depression-related posts"
"sad",0.793162640064911,2.21037600720602,"More associated with Depression-related posts"
"trigger",0.76437425377172,2.14765007017128,"More associated with Depression-related posts"
"desir",0.764148542536606,2.14716537612385,"More associated with Depression-related posts"
"lone",0.74968177502481,2.11632644151481,"More associated with Depression-related posts"
